"","Hair_Black","Hair_Brown","Hair_Red","Hair_Blond","Eye","Sex"
"1","1","0","0","0","Brown","Male"
"2","1","0","0","0","Brown","Male"
"3","1","0","0","0","Brown","Male"
"4","1","0","0","0","Brown","Male"
"5","1","0","0","0","Brown","Male"
"6","1","0","0","0","Brown","Male"
"7","1","0","0","0","Brown","Male"
"8","1","0","0","0","Brown","Male"
"9","1","0","0","0","Brown","Male"
"10","1","0","0","0","Brown","Male"
"11","1","0","0","0","Brown","Male"
"12","1","0","0","0","Brown","Male"
"13","1","0","0","0","Brown","Male"
"14","1","0","0","0","Brown","Male"
"15","1","0","0","0","Brown","Male"
"16","1","0","0","0","Brown","Male"
"17","1","0","0","0","Brown","Male"
"18","1","0","0","0","Brown","Male"
"19","1","0","0","0","Brown","Male"
"20","1","0","0","0","Brown","Male"
"21","1","0","0","0","Brown","Male"
"22","1","0","0","0","Brown","Male"
"23","1","0","0","0","Brown","Male"
"24","1","0","0","0","Brown","Male"
"25","1","0","0","0","Brown","Male"
"26","1","0","0","0","Brown","Male"
"27","1","0","0","0","Brown","Male"
"28","1","0","0","0","Brown","Male"
"29","1","0","0","0","Brown","Male"
"30","1","0","0","0","Brown","Male"
"31","1","0","0","0","Brown","Male"
"32","1","0","0","0","Brown","Male"
"33","0","1","0","0","Brown","Male"
"34","0","1","0","0","Brown","Male"
"35","0","1","0","0","Brown","Male"
"36","0","1","0","0","Brown","Male"
"37","0","1","0","0","Brown","Male"
"38","0","1","0","0","Brown","Male"
"39","0","1","0","0","Brown","Male"
"40","0","1","0","0","Brown","Male"
"41","0","1","0","0","Brown","Male"
"42","0","1","0","0","Brown","Male"
"43","0","1","0","0","Brown","Male"
"44","0","1","0","0","Brown","Male"
"45","0","1","0","0","Brown","Male"
"46","0","1","0","0","Brown","Male"
"47","0","1","0","0","Brown","Male"
"48","0","1","0","0","Brown","Male"
"49","0","1","0","0","Brown","Male"
"50","0","1","0","0","Brown","Male"
"51","0","1","0","0","Brown","Male"
"52","0","1","0","0","Brown","Male"
"53","0","1","0","0","Brown","Male"
"54","0","1","0","0","Brown","Male"
"55","0","1","0","0","Brown","Male"
"56","0","1","0","0","Brown","Male"
"57","0","1","0","0","Brown","Male"
"58","0","1","0","0","Brown","Male"
"59","0","1","0","0","Brown","Male"
"60","0","1","0","0","Brown","Male"
"61","0","1","0","0","Brown","Male"
"62","0","1","0","0","Brown","Male"
"63","0","1","0","0","Brown","Male"
"64","0","1","0","0","Brown","Male"
"65","0","1","0","0","Brown","Male"
"66","0","1","0","0","Brown","Male"
"67","0","1","0","0","Brown","Male"
"68","0","1","0","0","Brown","Male"
"69","0","1","0","0","Brown","Male"
"70","0","1","0","0","Brown","Male"
"71","0","1","0","0","Brown","Male"
"72","0","1","0","0","Brown","Male"
"73","0","1","0","0","Brown","Male"
"74","0","1","0","0","Brown","Male"
"75","0","1","0","0","Brown","Male"
"76","0","1","0","0","Brown","Male"
"77","0","1","0","0","Brown","Male"
"78","0","1","0","0","Brown","Male"
"79","0","1","0","0","Brown","Male"
"80","0","1","0","0","Brown","Male"
"81","0","1","0","0","Brown","Male"
"82","0","1","0","0","Brown","Male"
"83","0","1","0","0","Brown","Male"
"84","0","1","0","0","Brown","Male"
"85","0","1","0","0","Brown","Male"
"86","0","0","1","0","Brown","Male"
"87","0","0","1","0","Brown","Male"
"88","0","0","1","0","Brown","Male"
"89","0","0","1","0","Brown","Male"
"90","0","0","1","0","Brown","Male"
"91","0","0","1","0","Brown","Male"
"92","0","0","1","0","Brown","Male"
"93","0","0","1","0","Brown","Male"
