"","Hair_Black","Hair_Brown","Hair_Red","Hair_Blond","Eye_Brown","Eye_Blue","Eye_Hazel","Eye_Green","Sex_Male","Sex_Female","freq"
"1","1","0","0","0","1","0","0","0","1","0","32"
"2","0","1","0","0","1","0","0","0","1","0","53"
"3","0","0","1","0","1","0","0","0","1","0","10"
"4","0","0","0","1","1","0","0","0","1","0"," 3"
"5","1","0","0","0","0","1","0","0","1","0","11"
"6","0","1","0","0","0","1","0","0","1","0","50"
"7","0","0","1","0","0","1","0","0","1","0","10"
"8","0","0","0","1","0","1","0","0","1","0","30"
"9","1","0","0","0","0","0","1","0","1","0","10"
"10","0","1","0","0","0","0","1","0","1","0","25"
"11","0","0","1","0","0","0","1","0","1","0"," 7"
"12","0","0","0","1","0","0","1","0","1","0"," 5"
"13","1","0","0","0","0","0","0","1","1","0"," 3"
"14","0","1","0","0","0","0","0","1","1","0","15"
"15","0","0","1","0","0","0","0","1","1","0"," 7"
"16","0","0","0","1","0","0","0","1","1","0"," 8"
"17","1","0","0","0","1","0","0","0","0","1","36"
"18","0","1","0","0","1","0","0","0","0","1","66"
"19","0","0","1","0","1","0","0","0","0","1","16"
"20","0","0","0","1","1","0","0","0","0","1"," 4"
"21","1","0","0","0","0","1","0","0","0","1"," 9"
"22","0","1","0","0","0","1","0","0","0","1","34"
"23","0","0","1","0","0","1","0","0","0","1"," 7"
"24","0","0","0","1","0","1","0","0","0","1","64"
"25","1","0","0","0","0","0","1","0","0","1"," 5"
"26","0","1","0","0","0","0","1","0","0","1","29"
"27","0","0","1","0","0","0","1","0","0","1"," 7"
"28","0","0","0","1","0","0","1","0","0","1"," 5"
"29","1","0","0","0","0","0","0","1","0","1"," 2"
"30","0","1","0","0","0","0","0","1","0","1","14"
"31","0","0","1","0","0","0","0","1","0","1"," 7"
"32","0","0","0","1","0","0","0","1","0","1"," 8"
