"","Hair_Black","Hair_Brown","Hair_Red","Hair_Blond","Eye_Brown","Eye_Blue","Eye_Hazel","Eye_Green","Sex_Male","freq"
"1","1","0","0","0","1","0","0","0","1","32"
"2","0","1","0","0","1","0","0","0","1","53"
"3","0","0","1","0","1","0","0","0","1","10"
"4","0","0","0","1","1","0","0","0","1"," 3"
"5","1","0","0","0","0","1","0","0","1","11"
"6","0","1","0","0","0","1","0","0","1","50"
"7","0","0","1","0","0","1","0","0","1","10"
"8","0","0","0","1","0","1","0","0","1","30"
"9","1","0","0","0","0","0","1","0","1","10"
"10","0","1","0","0","0","0","1","0","1","25"
"11","0","0","1","0","0","0","1","0","1"," 7"
"12","0","0","0","1","0","0","1","0","1"," 5"
"13","1","0","0","0","0","0","0","1","1"," 3"
"14","0","1","0","0","0","0","0","1","1","15"
"15","0","0","1","0","0","0","0","1","1"," 7"
"16","0","0","0","1","0","0","0","1","1"," 8"
"17","1","0","0","0","1","0","0","0","0","36"
"18","0","1","0","0","1","0","0","0","0","66"
"19","0","0","1","0","1","0","0","0","0","16"
"20","0","0","0","1","1","0","0","0","0"," 4"
"21","1","0","0","0","0","1","0","0","0"," 9"
"22","0","1","0","0","0","1","0","0","0","34"
"23","0","0","1","0","0","1","0","0","0"," 7"
"24","0","0","0","1","0","1","0","0","0","64"
"25","1","0","0","0","0","0","1","0","0"," 5"
"26","0","1","0","0","0","0","1","0","0","29"
"27","0","0","1","0","0","0","1","0","0"," 7"
"28","0","0","0","1","0","0","1","0","0"," 5"
"29","1","0","0","0","0","0","0","1","0"," 2"
"30","0","1","0","0","0","0","0","1","0","14"
"31","0","0","1","0","0","0","0","1","0"," 7"
"32","0","0","0","1","0","0","0","1","0"," 8"
