"","Global","CapWeight","EqualWeight","HighRisk=HighReward","Optimization-Based","Fundamentals-Based","Averages","Return"
"1",1,1,0,0,0,0,0,0.0715
"2",1,0,1,0,0,0,0,0.0836
"3",1,0,0,1,0,0,0,0.0786
"4",1,0,0,1,0,0,0,0.0658
"5",1,0,0,1,0,0,0,0.0829
"6",1,0,0,1,0,0,0,0.0932
"7",1,0,0,1,0,0,0,0.0899
"8",1,0,0,1,0,0,0,0.0944
"9",1,0,0,1,0,0,0,0.0931
"10",1,0,0,1,0,0,0,0.0911
"11",1,0,0,1,0,0,0,0.0883
"12",1,0,0,0,1,0,0,0.084
"13",1,0,0,0,1,0,0,0.0714
"14",1,0,0,0,1,0,0,0.09
"15",1,0,0,0,1,0,0,0.0948
"16",1,0,0,0,1,0,0,0.087
"17",1,0,0,0,1,0,0,0.0877
"18",1,0,0,0,1,0,0,0.089
"19",1,0,0,0,1,0,0,0.088
"20",1,0,0,0,1,0,0,0.0855
"21",1,0,0,0,1,0,0,0.0851
"22",1,0,0,0,1,0,0,0.0944
"23",1,0,0,0,1,0,0,0.0874
"24",1,0,0,0,0,1,0,0.095
"25",1,0,0,0,0,1,0,0.112
"26",1,0,0,0,0,1,0,0.11
"27",1,0,0,0,0,1,0,0.0883
"28",1,0,0,0,0,1,0,0.106
"29",1,0,0,0,0,1,0,0.1051
"30",1,0,0,0,0,1,0,0.1245
"31",1,0,0,0,0,1,0,0.124
"32",1,0,0,0,0,1,0,0.1253
"33",1,0,0,0,0,1,0,0.1232
"34",1,0,0,0,0,1,0,0.066
"35",1,0,0,0,0,1,0,0.0836
"36",1,0,0,0,0,0,1,0.0812
"37",1,0,0,0,0,0,1,0.0875
"38",1,0,0,0,0,0,1,0.096
"39",1,0,0,0,0,0,1,0.096
"40",0,1,0,0,0,0,0,0.0966
"41",0,0,1,0,0,0,0,0.1146
"42",0,0,0,1,0,0,0,0.1215
"43",0,0,0,1,0,0,0,0.1189
"44",0,0,0,1,0,0,0,0.1213
"45",0,0,0,1,0,0,0,0.1253
"46",0,0,0,1,0,0,0,0.1259
"47",0,0,0,1,0,0,0,0.1348
"48",0,0,0,1,0,0,0,0.1263
"49",0,0,0,1,0,0,0,0.1245
"50",0,0,0,1,0,0,0,0.1251
"51",0,0,0,0,1,0,0,0.1175
"52",0,0,0,0,1,0,0,0.1199
"53",0,0,0,0,1,0,0,0.125
"54",0,0,0,0,1,0,0,0.1118
"55",0,0,0,0,1,0,0,0.1266
"56",0,0,0,0,1,0,0,0.1251
"57",0,0,0,0,1,0,0,0.1248
"58",0,0,0,0,1,0,0,0.1237
"59",0,0,0,0,1,0,0,0.1235
"60",0,0,0,0,1,0,0,0.1234
"61",0,0,0,0,1,0,0,0.1323
"62",0,0,0,0,1,0,0,0.1243
"63",0,0,0,0,0,1,0,0.1123
"64",0,0,0,0,0,1,0,0.1118
"65",0,0,0,0,0,1,0,0.116
"66",0,0,0,0,0,1,0,0.1242
"67",0,0,0,0,0,1,0,0.1386
"68",0,0,0,0,0,1,0,0.1304
"69",0,0,0,0,0,1,0,0.1438
"70",0,0,0,0,0,1,0,0.1316
"71",0,0,0,0,0,1,0,0.1406
"72",0,0,0,0,0,1,0,0.1334
"73",0,0,0,0,0,1,0,0.1026
"74",0,0,0,0,0,1,0,0.1137
"75",0,0,0,0,0,0,1,0.1126
"76",0,0,0,0,0,0,1,0.1175
"77",0,0,0,0,0,0,1,0.1288
"78",0,0,0,0,0,0,1,0.1257
